Date,Open,High,Low,Close,Adj Close,Volume
02-12-2014,8535.450195,8560.200195,8504.650391,8524.700195,8524.700195,137400
03-12-2014,8528.700195,8546.950195,8508.349609,8537.650391,8537.650391,153200
04-12-2014,8582.400391,8626.950195,8526.400391,8564.400391,8564.400391,143500
05-12-2014,8584.25,8588.349609,8523.900391,8538.299805,8538.299805,143300
08-12-2014,8538.650391,8546.349609,8432.25,8438.25,8438.25,163800
09-12-2014,8439.299805,8444.5,8330.5,8340.700195,8340.700195,146300
10-12-2014,8318.049805,8376.799805,8317,8355.650391,8355.650391,136700
11-12-2014,8338.849609,8348.299805,8272.400391,8292.900391,8292.900391,133900
12-12-2014,8302,8321.900391,8216.299805,8224.099609,8224.099609,138100
15-12-2014,8160.75,8242.400391,8152.5,8219.599609,8219.599609,137100
16-12-2014,8172.600098,8189.350098,8052.600098,8067.600098,8067.600098,197300
17-12-2014,8041.200195,8082,7961.350098,8029.799805,8029.799805,216200
18-12-2014,8138.899902,8174.299805,8084.899902,8159.299805,8159.299805,162100
19-12-2014,8230.450195,8263.450195,8208.599609,8225.200195,8225.200195,174800
22-12-2014,8255,8330.950195,8228.200195,8324,8324,139200
23-12-2014,8324.599609,8364.75,8252.849609,8267,8267,132200
24-12-2014,8272.049805,8286.400391,8155.25,8174.100098,8174.100098,221900
26-12-2014,8204.799805,8234.549805,8147.950195,8200.700195,8200.700195,75500
29-12-2014,8214.700195,8279.150391,8214.700195,8246.299805,8246.299805,82100
30-12-2014,8260.299805,8268.25,8220.549805,8248.25,8248.25,77700
31-12-2014,8243.900391,8291,8243.75,8282.700195,8282.700195,84500
01-01-2015,null,null,null,null,null,null
02-01-2015,8288.700195,8410.599609,8288.700195,8395.450195,8395.450195,101900
05-01-2015,8407.950195,8445.599609,8363.900391,8378.400391,8378.400391,118200
06-01-2015,8325.299805,8327.849609,8111.350098,8127.350098,8127.350098,172800
07-01-2015,8118.649902,8151.200195,8065.450195,8102.100098,8102.100098,164100
08-01-2015,8191.399902,8243.5,8167.299805,8234.599609,8234.599609,143800
09-01-2015,8285.450195,8303.299805,8190.799805,8284.5,8284.5,148000
14-01-2015,8307.25,8326.450195,8236.650391,8277.549805,8277.549805,146100
15-01-2015,8424.5,8527.099609,8380.549805,8494.150391,8494.150391,232100
16-01-2015,8504.049805,8530.75,8452.25,8513.799805,8513.799805,176000
19-01-2015,8550.049805,8570.950195,8531.5,8550.700195,8550.700195,125400
20-01-2015,8575.099609,8707.900391,8574.5,8695.599609,8695.599609,158700
21-01-2015,8719.650391,8741.849609,8689.599609,8729.5,8729.5,185900
22-01-2015,8745.849609,8774.150391,8727,8761.400391,8761.400391,175500
23-01-2015,8827.950195,8866.400391,8795.400391,8835.599609,8835.599609,191200
27-01-2015,8871.349609,8925.049805,8825.450195,8910.5,8910.5,192000
28-01-2015,8902.75,8985.049805,8874.049805,8914.299805,8914.299805,185100
29-01-2015,8901.5,8966.650391,8861.25,8952.349609,8952.349609,256300
30-01-2015,8996.599609,8996.599609,8775.099609,8808.900391,8808.900391,267300
02-02-2015,8802.5,8840.799805,8751.099609,8797.400391,8797.400391,210100
03-02-2015,8823.150391,8837.299805,8726.650391,8756.549805,8756.549805,208700
04-02-2015,8789.150391,8792.849609,8704.400391,8723.700195,8723.700195,195300
05-02-2015,8733.099609,8838.450195,8683.650391,8711.700195,8711.700195,173600
06-02-2015,8696.849609,8726.200195,8645.549805,8661.049805,8661.049805,171300
09-02-2015,8584.400391,8605.549805,8516.349609,8526.349609,8526.349609,146800
10-02-2015,8478.099609,8646.25,8470.5,8565.549805,8565.549805,196200
11-02-2015,8603.299805,8651.950195,8593.650391,8627.400391,8627.400391,161600
12-02-2015,8676.950195,8732.549805,8599.25,8711.549805,8711.549805,158800
13-02-2015,8741.5,8822.099609,8729.650391,8805.5,8805.5,221900
